20181222.191246,DAL2663,0.675192,15350.000000,233.300000
20181222.191322,EDV5281,5.681512,8725.000000,44.300000
20181222.191504,EDV5165,4.490932,7850.000000,40.800000
20181222.191519,JBU1729,0.408063,12275.000000,234.400000
20181222.191821,EDV5550,0.212078,14775.000000,234.200000
20181222.192523,JBU893,0.551320,6275.000000,148.100000
20181222.193223,SWA5853,5.709252,8250.000000,44.000000
20181222.193528,EDG600,0.344244,14150.000000,164.700000
20181222.193534,SWA6948,5.710022,8250.000000,44.300000
20181222.194040,DAL2294,5.705743,7225.000000,44.100000
20181222.194208,UAL886,1.296517,7075.000000,129.200000
20181222.194617,JBU581,0.736532,15700.000000,234.800000
20181222.194707,SKW3744,5.706576,8725.000000,44.200000
20181222.194730,JBU1527,0.570464,6525.000000,159.500000
20181222.195205,N264PA,0.523578,6200.000000,158.400000
20181222.195442,ENY4015,5.757484,7200.000000,44.300000
20181222.195513,VIV3945,0.297751,14225.000000,234.200000
20181222.195614,ASQ4294,0.329979,6325.000000,158.900000
20181222.200210,DAL2524,5.717857,8200.000000,44.200000
20181222.200515,UAL1021,0.339848,6275.000000,158.900000
20181222.200559,AAL1434,0.055412,11575.000000,234.800000
20181222.200625,EDV5383,5.716470,8275.000000,43.900000
20181222.201008,JBU523,0.234917,12500.000000,234.700000
20181222.201135,JBU351,2.882208,14075.000000,241.300000
20181222.201513,NKS922,5.733839,8525.000000,44.100000
20181222.201916,ENY3787,0.787134,13750.000000,235.800000
20181222.202056,3435,5.722245,7225.000000,44.300000
20181222.202357,UAL662,0.442625,6250.000000,159.800000
20181222.202720,DAL2275,5.703608,7975.000000,44.200000
20181222.202838,AMX409,1.345525,14350.000000,237.200000
20181222.203325,AAL1556,5.732874,8200.000000,44.600000
20181222.203344,UAL1538,0.625186,6250.000000,158.700000
20181222.203512,RPA6048,0.302746,13950.000000,234.100000
20181222.203702,JBU325,0.548789,13100.000000,233.700000
20181222.204357,UAL425,0.866861,6875.000000,129.600000
20181222.204407,JBU719,0.528491,13125.000000,234.300000
20181222.204720,RPA3463,0.359382,6225.000000,159.200000
20181222.204925,DAL2870,2.864608,14000.000000,239.100000
20181222.205238,JBU1323,0.227891,11675.000000,234.800000
20181222.210224,DAL2171,5.742146,8175.000000,44.100000
20181222.210419,UAL1790,0.547550,6825.000000,159.300000
20181222.210642,AAL2068,5.721807,9150.000000,44.200000
20181222.210900,ASQ4056,0.383962,6225.000000,159.200000
20181222.211016,AAL1457,5.744836,8175.000000,44.100000
20181222.211027,DAL2755,0.584306,12750.000000,234.400000
20181222.211125,DAL1398,5.763490,15125.000000,192.500000
20181222.212324,UAL2406,0.362934,6175.000000,159.400000
20181222.212645,RPA4416,5.707320,8150.000000,44.200000
20181222.212847,ENY3716,0.522756,12150.000000,234.500000
20181222.213108,EDV5276,5.701865,8150.000000,44.100000
20181222.213344,N13FS,0.430470,7125.000000,159.100000
20181222.213501,JBU915,2.563529,12550.000000,239.400000
20181222.214245,JBU575,0.423716,13675.000000,233.400000
20181222.214354,SKW3737,5.715810,9750.000000,40.500000
20181222.215337,RPA4356,5.692690,10100.000000,43.900000
20181222.215717,EDV5369,1.498138,14250.000000,231.800000
20181222.215908,RPA3670,0.347565,6475.000000,159.500000
20181222.220052,SWA2986,5.701204,7100.000000,44.100000
20181222.220439,JBU705,0.414585,6200.000000,159.100000
20181222.220451,N803JS,5.707086,7125.000000,43.500000
20181222.220922,JBU89,0.882419,11975.000000,235.500000
20181222.221428,DAL2477,0.915968,15100.000000,235.400000
20181222.221731,RPA4335,3.990899,7925.000000,46.800000
20181222.222453,JBU227,0.345814,6950.000000,158.700000
20181222.222727,UAL366,0.393993,7150.000000,159.300000
20181222.222914,JBU477,0.924001,13825.000000,233.200000
20181222.223104,UAL1068,0.431135,6325.000000,158.700000
20181222.223350,SKW4126,5.966073,8175.000000,37.800000
20181222.223803,JBU359,1.552135,13250.000000,237.500000
20181222.224405,AAL310,2.556162,7100.000000,33.500000
20181222.224550,FFT2034,5.720595,7100.000000,44.000000
20181222.224707,AIJ2997,2.616604,12450.000000,238.900000
20181222.224818,EJM717,0.578845,14025.000000,158.400000
20181222.224821,DAL2646,5.714216,7150.000000,38.100000
20181222.225241,RPA4415,1.400717,12825.000000,236.900000
20181222.225744,DAL1993,0.679736,15000.000000,233.600000
20181222.230037,RPA4374,5.737968,7150.000000,43.900000
20181222.230054,N2069Y,0.590606,5600.000000,152.500000
20181222.230211,N18S,0.417171,15625.000000,162.100000
20181222.231143,DAL2649,5.752263,7100.000000,44.400000
20181222.231354,UAL1841,0.406588,8975.000000,159.700000
20181222.231520,DAL1886,5.730073,7100.000000,44.300000
20181222.231817,AAL2809,5.726124,7075.000000,44.100000
20181222.231846,JBU1013,0.651487,14450.000000,234.900000
20181222.232644,AMX403,0.721814,14325.000000,233.300000
20181222.232645,RPA5952,5.692253,8350.000000,44.300000
20181222.233013,AAL1580,3.171920,6300.000000,117.500000
20181222.233031,N117QS,5.704966,7100.000000,43.800000
20181222.233338,AAL302,1.797131,12525.000000,243.000000
20181222.234008,QFA12,0.391858,13275.000000,234.700000
20181222.234735,JBU2227,0.399368,7750.000000,159.400000
20181222.235005,DAL2947,0.962134,14100.000000,234.200000
20181222.235229,BOG74,0.352574,6625.000000,159.200000
20181222.235408,EDV5505,5.701964,8075.000000,41.100000
20181223.000651,UAL1542,0.437618,6825.000000,186.300000
20181223.001357,SKW4160,0.846217,12825.000000,234.200000
20181223.001648,AAL2772,0.476085,11750.000000,234.500000
