0,20181222.191246,DAL2663,0.675192,15350.0,233.30000000000007
0,20181226.153403,SKW3937,2.056328,15175.0,238.6
0,20181226.154410,JBU921,5.526584,11250.0,234.50000000000003
0,20181226.154739,DAL449,1.721074,10450.0,237.50000000000003
0,20181226.155041,JBU795,0.62095,10650.0,234.1
0,20181226.155308,N156WJ,2.517862,10425.0,233.2
0,20181226.161910,JBU149,1.832778,10475.0,232.59999999999997
0,20181226.162050,AAL179,5.771331,10700.0,231.80000000000007
0,20181226.162525,N610CR,3.0587929999999997,15000.0,229.10000000000002
0,20181226.163009,DAL2780,0.691756,11800.0,235.00000000000006
0,20181226.163958,JBU1407,0.981198,11975.0,235.80000000000004
0,20181226.165747,ASA1025,1.034924,12125.0,236.20000000000002
0,20181226.170659,DAL2781,0.9914260000000001,14375.0,234.1
0,20181226.171120,DAL747,3.6376240000000006,14300.0,241.50000000000003
0,20181226.171546,JBU329,0.721199,13800.0,235.10000000000005
0,20181226.173124,JBU2359,4.645939,11175.0,241.90000000000006
0,20181226.174314,JBU1691,4.708602,11200.0,234.19999999999996
0,20181226.175653,AAL2681,1.4224900000000003,13575.0,232.5
0,20181226.180649,JBU2401,1.544505,12775.0,231.6
0,20181226.181237,TAE551,2.540361,14800.0,238.30000000000004
0,20181226.182127,JBU2153,0.628029,12600.0,234.80000000000007
0,20181226.182333,TFF909,2.255118,10525.0,236.8
0,20181226.182834,AAL1274,3.149992,11625.0,240.50000000000003
0,20181226.183236,JBU2179,0.134759,10500.0,234.50000000000003
0,20181226.183806,AVA211,1.093278,13175.0,235.80000000000004
0,20181226.185514,AAL952,0.387091,12450.0,236.00000000000003
0,20181226.190302,DAL2993,0.506558,14350.0,234.1
0,20181226.190833,JBU1729,0.678837,13100.0,233.30000000000007
0,20181226.153155,ASA1407,1.95333,12225.0,237.89999999999998
0,20181230.004313,DAL1667,0.227017,10950.0,235.10000000000005
0,20181226.152618,DAL2932,2.54627,10475.0,232.59999999999997
0,20181226.152054,ASA1023,0.521142,11225.0,235.4
0,20181226.130047,ASA59,1.060594,11825.0,235.80000000000004
0,20181226.131348,FDX3614,1.1157770000000002,14775.0,233.30000000000007
0,20181226.131633,JBU677,4.331288,11300.0,243.50000000000006
0,20181226.131918,AMX405,2.185494,11075.0,238.10000000000005
0,20181226.132333,JBU1611,4.968378,10500.0,239.70000000000005
0,20181226.132624,DAL1481,1.3951600000000002,11425.0,236.70000000000005
0,20181226.133301,DAL2991,1.1863580000000002,13275.0,236.29999999999998
0,20181226.133506,DAL725,2.370843,11100.0,238.6
0,20181226.133709,JBU189,4.247403,10450.0,236.40000000000006
0,20181226.133952,JBU841,1.7156109999999998,10500.0,237.1
0,20181226.134248,AAL1444,2.450718,13500.0,238.7
0,20181226.135016,SKW3705,1.15655,14500.0,236.50000000000006
0,20181226.135224,AAL2827,2.452489,15025.0,239.00000000000003
0,20181226.191519,DAL1420,1.2010210000000001,13175.0,236.20000000000002
0,20181226.135457,AAL2514,1.83677,11975.0,237.30000000000004
0,20181226.140043,N106EX,0.9740110000000001,14150.0,233.00000000000003
0,20181226.140140,RPA6130,5.702978,10850.0,236.9
0,20181226.140440,DAL215,1.268837,13550.0,236.50000000000006
0,20181226.141244,EDV3371,1.552465,10450.0,236.9
0,20181226.141503,DAL2793,0.249577,13000.0,234.50000000000003
0,20181226.142412,JBU415,0.745334,11925.0,235.5
0,20181226.142633,UPS2111,1.8963929999999998,14225.0,238.20000000000005
0,20181226.142854,FDX442,0.544178,13275.0,233.2
0,20181226.143249,EDV5161,2.108374,12475.0,238.30000000000004
0,20181226.145940,JBU323,0.787881,11625.0,234.80000000000007
0,20181226.150451,DAL481,4.973897,11875.0,233.8
0,20181226.150823,FDX622,1.475452,14125.0,232.20000000000002
0,20181226.151254,TAI571,0.554467,11900.0,233.70000000000002
0,20181226.135914,DAL2849,0.578922,12450.0,234.30000000000004
0,20181226.125821,JBU525,0.069193,11050.0,234.19999999999996
0,20181226.193159,ASA1411,2.35738,11925.0,238.90000000000003
0,20181226.194238,JBU581,0.864647,13750.0,234.90000000000006
0,20181226.233032,DAL2947,4.500603,10550.0,235.80000000000004
0,20181226.233239,JBU719,0.44519500000000006,10475.0,238.30000000000004
0,20181226.234109,QFA12,4.096327,10875.0,236.00000000000003
0,20181226.235448,DAL860,4.404406,10875.0,238.7
0,20181226.235736,SKW4160,0.357155,12200.0,234.50000000000003
0,20181226.235913,AAL2423,1.669956,14425.0,237.40000000000003
0,20181227.000548,DAL969,5.675488,11875.0,233.40000000000006
0,20181227.001946,JBU167,4.93366,11075.0,238.4
0,20181227.002159,EDV5390,4.503752,13025.0,233.9
0,20181227.004722,DAL715,0.550405,12525.0,237.50000000000003
0,20181227.004857,DAL2757,5.29125,13000.0,242.6
0,20181227.005510,DAL1807,2.493911,14175.0,238.7
0,20181227.010752,DAL2199,4.971127,11375.0,234.90000000000006
0,20181227.011451,DAL2915,1.7759869999999998,11850.0,237.70000000000002
0,20181227.011716,AAL24,0.241798,12650.0,234.30000000000004
0,20181227.012655,AAL2218,1.0981370000000001,11850.0,238.4
0,20181227.012929,ASA1413,1.442117,12925.0,236.70000000000005
0,20181227.013240,JBU225,1.342462,11500.0,234.50000000000003
0,20181227.014033,AAL631,1.012547,13975.0,236.29999999999998
0,20181227.014451,JBU1415,3.0793999999999997,11325.0,240.50000000000003
0,20181227.020947,EDV5081,2.537895,14850.0,254.40000000000003
0,20181227.021704,JBU71,4.303519,12625.0,242.00000000000006
